outcome,continuouspredictor,phylogeny,contrast_lower,contrast_upper,association_present
strict male dominance,MatSysPMK POL minus PAN,Yes,-0.04631,0.41496,not
strict male dominance,MatSysPMK PRO minus PAN,Yes,-0.27568,0.196036,not
strict male dominance,MatSysPMK PRO minus POL,Yes,-0.37356,-0.08275,confident
perc_won,Strata_Wilman G minus Ar,No,-0.41751,-0.29496,confident
perc_won,Strata_Wilman S minus Ar,No,-0.25355,-0.1819,confident
perc_won,Strata_Wilman S minus G,No,0.091988,0.194099,confident
perc_won,Strata_Wilman G minus Ar,Yes,-0.71593,-0.37901,confident
perc_won,Strata_Wilman S minus Ar,Yes,-0.68183,-0.43105,confident
perc_won,Strata_Wilman S minus G,Yes,-0.18051,0.167476,not
strict three way,Strata_Wilman G minus Ar,No,-0.3809,-0.08609,confident
strict three way,Strata_Wilman S minus Ar,No,-0.28381,-0.04774,confident
strict three way,Strata_Wilman S minus G,No,-0.0846,0.206943,not
strict three way,Strata_Wilman G minus Ar,Yes,-0.38414,-0.09664,confident
strict three way,Strata_Wilman S minus Ar,Yes,-0.27879,-0.04854,confident
strict three way,Strata_Wilman S minus G,Yes,-0.06566,0.216341,not
strict female dominance,Strata_Wilman G minus Ar,No,-0.08418,0.143084,not
strict female dominance,Strata_Wilman S minus Ar,No,-0.15228,0.009826,not
strict female dominance,Strata_Wilman S minus G,No,-0.2056,0.000383,not
strict female dominance,Strata_Wilman G minus Ar,Yes,-0.37059,0.077797,not
strict female dominance,Strata_Wilman S minus Ar,Yes,-0.41315,-0.00195,confident
strict female dominance,Strata_Wilman S minus G,Yes,-0.29594,0.173599,not
strict male dominance,Strata_Wilman G minus Ar,No,0.074537,0.362077,confident
strict male dominance,Strata_Wilman S minus Ar,No,0.02153,0.275346,confident
strict male dominance,Strata_Wilman S minus G,No,-0.21315,0.066687,not
strict male dominance,Strata_Wilman G minus Ar,Yes,0.084625,0.373099,confident
strict male dominance,Strata_Wilman S minus Ar,Yes,0.015589,0.263782,confident
strict male dominance,Strata_Wilman S minus G,Yes,-0.24017,0.065916,not
perc_won,sexbias_dispersal Female minus Both,No,0.028698,0.15063,confident
perc_won,sexbias_dispersal Male minus Both,No,-0.19428,-0.07098,confident
perc_won,sexbias_dispersal Male minus Female,No,-0.25879,-0.16782,confident
perc_won,sexbias_dispersal Female minus Both,Yes,0.360587,0.689763,confident
perc_won,sexbias_dispersal Male minus Both,Yes,0.045522,0.405436,confident
perc_won,sexbias_dispersal Male minus Female,Yes,-0.45081,-0.18858,confident
strict three way,sexbias_dispersal Female minus Both,No,-0.24942,0.173011,not
strict three way,sexbias_dispersal Male minus Both,No,-0.26924,0.13153,not
strict three way,sexbias_dispersal Male minus Female,No,-0.17432,0.123601,not
strict three way,sexbias_dispersal Female minus Both,Yes,-0.2543,0.181088,not
