,outcome,nestingvariable,phylogeny,contrast lower,contrast upper
315,perc_won,no dimorphic sexbias_dispersal,yes,0.62290281,1.5401791
316,perc_won,dimorphic sexbias_dispersal,yes,0.1382278,1.23127055
317,strict,no dimorphic sexbias_dispersal,no,0.473193055,1.22905765
318,strict,dimorphic sexbias_dispersal,no,-0.42520771,0.21949271
319,strict,no dimorphic sexbias_dispersal,yes,0.479239765,1.26767985
320,strict,dimorphic sexbias_dispersal,yes,-0.331291265,0.330623185
321,relaxed,no dimorphic sexbias_dispersal,no,0.28928591,1.13493355
322,relaxed,dimorphic sexbias_dispersal,no,-0.76694322,0.035083124
323,relaxed,no dimorphic sexbias_dispersal,yes,0.310292725,1.1546566
324,relaxed,dimorphic sexbias_dispersal,yes,-0.804334665,0.069407651
325,perc_won,no dimorphic jointaggression_females,no,0.5584009,0.74210408
326,perc_won,dimorphic jointaggression_females,no,-0.477828035,-0.20286314
327,perc_won,no dimorphic jointaggression_females,yes,-1.3382392,0.27035402
328,perc_won,dimorphic jointaggression_females,yes,-1.27644125,0.191856215
329,strict,no dimorphic jointaggression_females,no,-0.0237528,0.90418561
330,strict,dimorphic jointaggression_females,no,-0.73096716,0.1540401
331,strict,no dimorphic jointaggression_females,yes,-0.07633995,0.827622955
332,strict,dimorphic jointaggression_females,yes,-0.74278134,0.129406375
333,relaxed,no dimorphic jointaggression_females,no,0.091328021,1.1184495
334,relaxed,dimorphic jointaggression_females,no,-0.49285497,0.486387325
335,relaxed,no dimorphic jointaggression_females,yes,0.083487648,1.12202585
336,relaxed,dimorphic jointaggression_females,yes,-0.71042419,0.375695055
337,perc_won,no dimorphic jointaggression_males,no,-2.68133365,-2.4088825
338,perc_won,dimorphic jointaggression_males,no,0.401776575,0.635585315
339,perc_won,no dimorphic jointaggression_males,yes,-1.67657465,0.29305182
340,perc_won,dimorphic jointaggression_males,yes,-0.212323645,1.08954055
341,strict,no dimorphic jointaggression_males,no,-0.921328835,0.12381544
342,strict,dimorphic jointaggression_males,no,-0.99878972,-0.11020885
343,strict,no dimorphic jointaggression_males,yes,-0.96411534,0.141278235
344,strict,dimorphic jointaggression_males,yes,-1.05095935,-0.13550826
345,relaxed,no dimorphic jointaggression_males,no,-0.861603985,0.249143625
346,relaxed,dimorphic jointaggression_males,no,-1.25432275,-0.242858245
347,relaxed,no dimorphic jointaggression_males,yes,-0.762418445,0.4762164
348,relaxed,dimorphic jointaggression_males,yes,-1.3850888,-0.247848655
349,perc_won,no dimorphic female_evictions,no,-0.43583748,1.0532145
350,perc_won,dimorphic female_evictions,no,-3.62101595,-2.2344967
351,perc_won,no dimorphic female_evictions,yes,-0.6921588,1.2705235
352,perc_won,dimorphic female_evictions,yes,-3.08881375,-0.666318525
353,strict,no dimorphic female_evictions,no,0.089760386,1.1926064
354,strict,dimorphic female_evictions,no,-1.4661491,-0.112097155
355,strict,no dimorphic female_evictions,yes,0.080240172,1.2597438
356,strict,dimorphic female_evictions,yes,-1.50261495,-0.113441235
357,relaxed,no dimorphic female_evictions,no,0.056859438,1.1927959
358,relaxed,dimorphic female_evictions,no,-1.3581599,0.15381347
359,relaxed,no dimorphic female_evictions,yes,0.020195171,1.23538645
