"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"267","strict male dominance","sexbias_dispersal Female minus Both","No",0.0591762985919944,0.402063962977835,"confident"
"268","strict male dominance","sexbias_dispersal Male minus Both","No",-0.0152567801248308,0.277872551142626,"not"
"269","strict male dominance","sexbias_dispersal Male minus Female","No",-0.245581481650321,0.0524500004447,"not"
"270","strict male dominance","sexbias_dispersal Female minus Both","Yes",0.0772702713597869,0.429696591851528,"confident"
"271","strict male dominance","sexbias_dispersal Male minus Both","Yes",-0.0272829286080194,0.285284179261705,"not"
"272","strict male dominance","sexbias_dispersal Male minus Female","Yes",-0.298342755403297,0.0325964026788983,"not"
"273","perc_won","jointaggression_females Yes minus No","No",-0.075985254411713,-0.0224252770982208,"confident"
"274","perc_won","jointaggression_females Yes minus No","Yes",-0.355515041794776,-0.059091346202422,"confident"
"275","strict three way","jointaggression_females Yes minus No","No",-0.152175565980897,0.104639569766898,"not"
"276","strict three way","jointaggression_females Yes minus No","Yes",-0.18508607981628,0.101437354317462,"not"
"277","strict female dominance","jointaggression_females Yes minus No","No",-0.148777535206588,0.0232418056745051,"not"
"278","strict female dominance","jointaggression_females Yes minus No","Yes",-0.182018440299858,0.28695144800423,"not"
"279","strict male dominance","jointaggression_females Yes minus No","No",-0.090338952159999,0.17366643459719,"not"
"280","strict male dominance","jointaggression_females Yes minus No","Yes",-0.0901688256866872,0.191562303303131,"not"
"281","perc_won","jointaggression_males Yes minus No","No",0.0838342391801517,0.161685609415295,"confident"
"282","perc_won","jointaggression_males Yes minus No","Yes",-0.00532295970415875,0.374225191468349,"not"
"283","strict three way","jointaggression_males Yes minus No","No",-0.155712032355186,0.0614894424119831,"not"
"284","strict three way","jointaggression_males Yes minus No","Yes",-0.159328404259171,0.108638871195596,"not"
"285","strict female dominance","jointaggression_males Yes minus No","No",-0.0660838095926701,0.0891408126199728,"not"
"286","strict female dominance","jointaggression_males Yes minus No","Yes",-0.337376630851271,0.109901556224881,"not"
"287","strict male dominance","jointaggression_males Yes minus No","No",-0.0886925946348365,0.158560140562528,"not"
"288","strict male dominance","jointaggression_males Yes minus No","Yes",-0.114523050418164,0.141978226722813,"not"
"289","perc_won","female_evictions Yes minus No","No",-0.0962143395039416,-0.00653831989475101,"confident"
"290","perc_won","female_evictions Yes minus No","Yes",-0.530129585569926,-0.0338412554828158,"confident"
"291","strict three way","female_evictions Yes minus No","No",-0.223215209274392,0.145668405768018,"not"
"292","strict three way","female_evictions Yes minus No","Yes",-0.252252553845015,0.171701733149092,"not"
"293","strict female dominance","female_evictions Yes minus No","No",0.0493168380512994,0.336289045914584,"confident"
"294","strict female dominance","female_evictions Yes minus No","Yes",-0.199069422315699,0.302458159654973,"not"
"295","strict male dominance","female_evictions Yes minus No","No",-0.202323149040704,0.13478628929387,"not"
"296","strict male dominance","female_evictions Yes minus No","Yes",-0.184557426836785,0.23125429475218,"not"
"297","perc_won","female_infanticide Yes minus No","No",-0.0472995255509535,0.0196166679154077,"not"
"298","perc_won","female_infanticide Yes minus No","Yes",-0.0698922200508488,0.225345590234269,"not"
"299","strict three way","female_infanticide Yes minus No","No",-0.191069296363893,0.0891664941314979,"not"
"300","strict three way","female_infanticide Yes minus No","Yes",-0.172385676552727,0.144279662387572,"not"
"301","strict female dominance","female_infanticide Yes minus No","No",0.00335767248513056,0.203044295721571,"confident"
"302","strict female dominance","female_infanticide Yes minus No","Yes",-0.227838689058571,0.258568704773807,"not"
"303","strict male dominance","female_infanticide Yes minus No","No",-0.103635878093575,0.170671140123656,"not"
"304","strict male dominance","female_infanticide Yes minus No","Yes",-0.142676384024585,0.169136047960685,"not"
"305","perc_won","ovulation_signs Exaggerated minus Absent","No",-0.172991111324369,-0.10634053240895,"confident"
"306","perc_won","ovulation_signs Present minus Absent","No",-0.339123053352038,-0.227696466846932,"confident"
"307","perc_won","ovulation_signs Present minus Exaggerated","No",-0.198442561002305,-0.0988380470953315,"confident"
"308","perc_won","ovulation_signs Exaggerated minus Absent","Yes",-0.429315343359227,0.0290503091212311,"not"
"309","perc_won","ovulation_signs Present minus Absent","Yes",-0.36956771438213,-0.0173129561665368,"confident"
"310","perc_won","ovulation_signs Present minus Exaggerated","Yes",-0.223482894609546,0.255188597036137,"not"
"311","strict three way","ovulation_signs Exaggerated minus Absent","No",-0.259528455513757,0.0190393611864999,"not"
"312","strict three way","ovulation_signs Present minus Absent","No",-0.216004758194524,0.066911463856907,"not"
"313","strict three way","ovulation_signs Present minus Exaggerated","No",-0.101646524173787,0.184878511587886,"not"
"314","strict three way","ovulation_signs Exaggerated minus Absent","Yes",-0.260735431701117,0.0737855282506243,"not"
"315","strict three way","ovulation_signs Present minus Absent","Yes",-0.254676515226908,0.0591556655491804,"not"
"316","strict three way","ovulation_signs Present minus Exaggerated","Yes",-0.165114872558435,0.165783765149804,"not"
"317","strict female dominance","ovulation_signs Exaggerated minus Absent","No",-0.101499275880994,0.0971702104173922,"not"
"318","strict female dominance","ovulation_signs Present minus Absent","No",-0.118830193186447,0.0896224824906969,"not"
"319","strict female dominance","ovulation_signs Present minus Exaggerated","No",-0.11413262741281,0.087749081451266,"not"
"320","strict female dominance","ovulation_signs Exaggerated minus Absent","Yes",-0.224460596619171,0.237772276835807,"not"
