,outcome,continuouspredictor,phylogeny,estimate lower,estimate upper,association_present
296,strict male dominance,jointaggression_females Yes minus No,Yes,-0.244525459,0.152064381,not
297,perc_won,jointaggression_males Yes minus No,No,-0.583804298,-0.472714951,confident
298,perc_won,jointaggression_males Yes minus No,Yes,-0.61551156,-0.205475626,confident
299,strict three way,jointaggression_males Yes minus No,No,-0.438765081,-0.12630294,confident
300,strict three way,jointaggression_males Yes minus No,Yes,-0.439256146,-0.075278628,confident
301,strict female dominance,jointaggression_males Yes minus No,No,-0.335952267,-0.027666075,confident
302,strict female dominance,jointaggression_males Yes minus No,Yes,-0.431361538,-0.039335139,confident
303,strict male dominance,jointaggression_males Yes minus No,No,0.090087433,0.421538233,confident
304,strict male dominance,jointaggression_males Yes minus No,Yes,0.00918393,0.388307534,confident
177,perc_won,female_infanticide Yes minus No,No,0.111382509,0.193690721,confident
178,perc_won,female_infanticide Yes minus No,Yes,0.429998258,0.717253552,confident
179,strict three way,female_infanticide Yes minus No,No,-0.065347761,0.298546688,not
180,strict three way,female_infanticide Yes minus No,Yes,-0.067125022,0.317269741,not
181,strict female dominance,female_infanticide Yes minus No,No,-0.082681036,0.299511587,not
182,strict female dominance,female_infanticide Yes minus No,Yes,-0.110287271,0.296261999,not
183,strict male dominance,female_infanticide Yes minus No,No,-0.189608268,0.161339099,not
184,strict male dominance,female_infanticide Yes minus No,Yes,-0.318950568,0.125102146,not
185,perc_won,ovulation_signs Present minus Absent,No,0.233940193,0.358632731,confident
186,perc_won,ovulation_signs Present minus Absent,Yes,-0.336919389,0.277995635,not
187,strict three way,ovulation_signs Present minus Absent,No,-0.008756282,0.357585328,not
188,strict three way,ovulation_signs Present minus Absent,Yes,-0.018711845,0.347770349,not
189,strict female dominance,ovulation_signs Present minus Absent,No,-0.013485587,0.345181716,not
190,strict female dominance,ovulation_signs Present minus Absent,Yes,-0.018214937,0.321493136,not
191,strict male dominance,ovulation_signs Present minus Absent,No,-0.17242442,0.141372493,not
192,strict male dominance,ovulation_signs Present minus Absent,Yes,-0.302925325,0.117921085,not
193,perc_won,Strata_Wilman S minus Ar,No,0.428756087,0.703594951,confident
194,perc_won,Strata_Wilman S minus Ar,Yes,0.559187392,0.893926629,confident
195,strict three way,Strata_Wilman S minus Ar,No,-0.083328837,0.358860026,not
196,strict three way,Strata_Wilman S minus Ar,Yes,-0.081759127,0.364741982,not
197,strict female dominance,Strata_Wilman S minus Ar,No,0.014713187,0.402572148,confident
198,strict female dominance,Strata_Wilman S minus Ar,Yes,-0.020644938,0.391026696,not
