"","outcome","continuouspredictor","phylogeny","estimate lower","estimate upper","association_present"
"195","strict male dominance","SocOrgPMK P minus G","No",-0.0363086817898875,0.285393720565582,"not"
"196","strict male dominance","SocOrgPMK S minus G","No",-0.058561527031765,0.23839677856381,"not"
"197","strict male dominance","SocOrgPMK S minus P","No",-0.213108057869881,0.150198087629293,"not"
"198","strict male dominance","SocOrgPMK P minus G","Yes",-0.221482974908116,0.278803685911471,"not"
"199","strict male dominance","SocOrgPMK S minus G","Yes",-0.229281263791475,0.269610818387339,"not"
"200","strict male dominance","SocOrgPMK S minus P","Yes",-0.252106487763486,0.262638886452119,"not"
"201","perc_won","MatSysPMK PAN minus MON","No",-0.104382998123619,0.01052477854485,"not"
"202","perc_won","MatSysPMK POL minus MON","No",0.176463955145278,0.508944078357076,"confident"
"203","perc_won","MatSysPMK PRO minus MON","No",-0.12145123244674,-0.0299950858495007,"confident"
"204","perc_won","MatSysPMK POL minus PAN","No",0.213521118680548,0.559373580103232,"confident"
"205","perc_won","MatSysPMK PRO minus PAN","No",-0.0744711499109846,0.0174563566904414,"not"
"206","perc_won","MatSysPMK PRO minus POL","No",-0.582486256150311,-0.246107827169425,"confident"
"207","perc_won","MatSysPMK PAN minus MON","Yes",-0.124641819201131,0.311213474850203,"not"
"208","perc_won","MatSysPMK POL minus MON","Yes",0.153389944076405,0.578747011394758,"confident"
"209","perc_won","MatSysPMK PRO minus MON","Yes",-0.445182240953166,-0.190194468755728,"confident"
"210","perc_won","MatSysPMK POL minus PAN","Yes",0.0808887827582075,0.487768962195195,"confident"
"211","perc_won","MatSysPMK PRO minus PAN","Yes",-0.583705449585078,-0.226490497242443,"confident"
"212","perc_won","MatSysPMK PRO minus POL","Yes",-0.822235800399784,-0.50602600364031,"confident"
"213","strict three way","MatSysPMK PAN minus MON","No",-0.267616569119149,0.162892500255695,"not"
"214","strict three way","MatSysPMK POL minus MON","No",-0.233644722136549,0.269736267534391,"not"
"215","strict three way","MatSysPMK PRO minus MON","No",-0.15128714601084,0.238652248256495,"not"
"216","strict three way","MatSysPMK POL minus PAN","No",-0.171552293610093,0.318404032348316,"not"
"217","strict three way","MatSysPMK PRO minus PAN","No",-0.0877005469080682,0.293288574057417,"not"
"218","strict three way","MatSysPMK PRO minus POL","No",-0.220957326633116,0.260745674331371,"not"
"219","strict three way","MatSysPMK PAN minus MON","Yes",-0.245812944938594,0.189474801958393,"not"
"220","strict three way","MatSysPMK POL minus MON","Yes",-0.232460198041991,0.277011307815877,"not"
"221","strict three way","MatSysPMK PRO minus MON","Yes",-0.162308096658755,0.255939267464567,"not"
"222","strict three way","MatSysPMK POL minus PAN","Yes",-0.196648659411341,0.311395518065079,"not"
"223","strict three way","MatSysPMK PRO minus PAN","Yes",-0.127566865926275,0.287725044594967,"not"
"224","strict three way","MatSysPMK PRO minus POL","Yes",-0.219214882434668,0.265307731321069,"not"
"225","strict female dominance","MatSysPMK PAN minus MON","No",-0.264499332720535,0.154963631620792,"not"
"226","strict female dominance","MatSysPMK POL minus MON","No",-0.248114984094624,0.225433349878937,"not"
